BC	s_vals	f0_vals
0	0.910699904	1.0
1	1.11253385	1.0
2	0.99821983	1.0
3	1.203381179	1.0
4	1.262659378	1.0
5	1.359457018	1.0
6	1.211697985	1.0
7	1.261849015	1.0
8	1.21159652	1.0
9	1.390293936	1.0
10	1.355383317	1.0
11	1.445180916	1.0
12	1.271422864	1.0
13	1.49517616	1.0
14	1.382129783	1.0
15	1.349289071	1.0
16	1.427948471	1.0
17	1.47738471	1.0
18	1.440798106	1.0
19	1.336651198	1.0
20	1.46977996	1.0
21	1.481388763	1.0
22	1.33157471	1.0
23	1.553550132	1.0
24	1.496842327	1.0
25	1.435615946	1.0
26	1.578332058	1.0
27	1.764073117	1.0
28	1.581792539	1.0
29	1.812140099	1.0
30	1.460282403	1.0
31	2.021813917	1.0
32	1.844907913	1.0
33	2.084364992	1.0
34	1.877496757	1.0
35	1.859594605	1.0
36	1.674140374	1.0
37	1.606857522	1.0
38	1.575513844	1.0
39	1.885293796	1.0
40	1.416568779	1.0
